output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/cuda-mst-naive-new-fixed-K320-E1/100007_OUT.png,dataset/BSDS500/ground_truth/100007_0.png,79,5,0.983737,0.0325257
dumps/cuda-mst-naive-new-fixed-K320-E1/100007_OUT.png,dataset/BSDS500/ground_truth/100007_1.png,79,7,0.975615,0.0487691
dumps/cuda-mst-naive-new-fixed-K320-E1/100007_OUT.png,dataset/BSDS500/ground_truth/100007_2.png,79,8,0.936101,0.127376
dumps/cuda-mst-naive-new-fixed-K320-E1/100007_OUT.png,dataset/BSDS500/ground_truth/100007_3.png,79,13,0.966658,0.0663791
dumps/cuda-mst-naive-new-fixed-K320-E1/100007_OUT.png,dataset/BSDS500/ground_truth/100007_4.png,79,19,0.954042,0.0906277
dumps/cuda-mst-naive-new-fixed-K320-E1/100039_OUT.png,dataset/BSDS500/ground_truth/100039_0.png,112,11,0.831834,0.327245
dumps/cuda-mst-naive-new-fixed-K320-E1/100039_OUT.png,dataset/BSDS500/ground_truth/100039_1.png,112,61,0.731051,0.521124
dumps/cuda-mst-naive-new-fixed-K320-E1/100039_OUT.png,dataset/BSDS500/ground_truth/100039_2.png,112,4,0.847346,0.298159
dumps/cuda-mst-naive-new-fixed-K320-E1/100039_OUT.png,dataset/BSDS500/ground_truth/100039_3.png,112,5,0.846303,0.302459
dumps/cuda-mst-naive-new-fixed-K320-E1/100039_OUT.png,dataset/BSDS500/ground_truth/100039_4.png,112,21,0.781264,0.416701
dumps/cuda-mst-naive-new-fixed-K320-E1/100075_OUT.png,dataset/BSDS500/ground_truth/100075_0.png,61,18,0.747482,0.458488
dumps/cuda-mst-naive-new-fixed-K320-E1/100075_OUT.png,dataset/BSDS500/ground_truth/100075_1.png,61,5,0.84743,0.262427
dumps/cuda-mst-naive-new-fixed-K320-E1/100075_OUT.png,dataset/BSDS500/ground_truth/100075_2.png,61,13,0.745759,0.464213
dumps/cuda-mst-naive-new-fixed-K320-E1/100075_OUT.png,dataset/BSDS500/ground_truth/100075_3.png,61,16,0.738804,0.478488
dumps/cuda-mst-naive-new-fixed-K320-E1/100075_OUT.png,dataset/BSDS500/ground_truth/100075_4.png,61,30,0.707023,0.508436
dumps/cuda-mst-naive-new-fixed-K320-E1/100075_OUT.png,dataset/BSDS500/ground_truth/100075_5.png,61,16,0.724788,0.507814
dumps/cuda-mst-naive-new-fixed-K320-E1/100080_OUT.png,dataset/BSDS500/ground_truth/100080_0.png,60,7,0.908407,0.182946
dumps/cuda-mst-naive-new-fixed-K320-E1/100080_OUT.png,dataset/BSDS500/ground_truth/100080_1.png,60,35,0.705837,0.586292
dumps/cuda-mst-naive-new-fixed-K320-E1/100080_OUT.png,dataset/BSDS500/ground_truth/100080_2.png,60,4,0.844703,0.310594
dumps/cuda-mst-naive-new-fixed-K320-E1/100080_OUT.png,dataset/BSDS500/ground_truth/100080_3.png,60,27,0.770312,0.459142
dumps/cuda-mst-naive-new-fixed-K320-E1/100080_OUT.png,dataset/BSDS500/ground_truth/100080_4.png,60,12,0.867456,0.264856
dumps/cuda-mst-naive-new-fixed-K320-E1/100098_OUT.png,dataset/BSDS500/ground_truth/100098_0.png,141,67,0.841141,0.307323
dumps/cuda-mst-naive-new-fixed-K320-E1/100098_OUT.png,dataset/BSDS500/ground_truth/100098_1.png,141,45,0.837391,0.316526
dumps/cuda-mst-naive-new-fixed-K320-E1/100098_OUT.png,dataset/BSDS500/ground_truth/100098_2.png,141,22,0.86175,0.270814
dumps/cuda-mst-naive-new-fixed-K320-E1/100098_OUT.png,dataset/BSDS500/ground_truth/100098_3.png,141,2,0.956315,0.0873699
dumps/cuda-mst-naive-new-fixed-K320-E1/100098_OUT.png,dataset/BSDS500/ground_truth/100098_4.png,141,24,0.830247,0.331507
dumps/cuda-mst-naive-new-fixed-K320-E1/100099_OUT.png,dataset/BSDS500/ground_truth/100099_0.png,27,7,0.80254,0.39492
dumps/cuda-mst-naive-new-fixed-K320-E1/100099_OUT.png,dataset/BSDS500/ground_truth/100099_1.png,27,8,0.704471,0.582451
dumps/cuda-mst-naive-new-fixed-K320-E1/100099_OUT.png,dataset/BSDS500/ground_truth/100099_2.png,27,4,0.798609,0.402776
dumps/cuda-mst-naive-new-fixed-K320-E1/100099_OUT.png,dataset/BSDS500/ground_truth/100099_3.png,27,6,0.698726,0.587593
dumps/cuda-mst-naive-new-fixed-K320-E1/100099_OUT.png,dataset/BSDS500/ground_truth/100099_4.png,27,6,0.696945,0.581913
dumps/cuda-mst-naive-new-fixed-K320-E1/10081_OUT.png,dataset/BSDS500/ground_truth/10081_0.png,75,20,0.926127,0.147596
dumps/cuda-mst-naive-new-fixed-K320-E1/10081_OUT.png,dataset/BSDS500/ground_truth/10081_1.png,75,11,0.945085,0.109682
dumps/cuda-mst-naive-new-fixed-K320-E1/10081_OUT.png,dataset/BSDS500/ground_truth/10081_2.png,75,6,0.941095,0.117726
dumps/cuda-mst-naive-new-fixed-K320-E1/10081_OUT.png,dataset/BSDS500/ground_truth/10081_3.png,75,16,0.932462,0.134928
dumps/cuda-mst-naive-new-fixed-K320-E1/10081_OUT.png,dataset/BSDS500/ground_truth/10081_4.png,75,18,0.903835,0.19233
dumps/cuda-mst-naive-new-fixed-K320-E1/101027_OUT.png,dataset/BSDS500/ground_truth/101027_0.png,101,9,0.892125,0.205342
dumps/cuda-mst-naive-new-fixed-K320-E1/101027_OUT.png,dataset/BSDS500/ground_truth/101027_1.png,101,15,0.897209,0.205251
dumps/cuda-mst-naive-new-fixed-K320-E1/101027_OUT.png,dataset/BSDS500/ground_truth/101027_2.png,101,12,0.869217,0.249668
dumps/cuda-mst-naive-new-fixed-K320-E1/101027_OUT.png,dataset/BSDS500/ground_truth/101027_3.png,101,12,0.887954,0.219066
dumps/cuda-mst-naive-new-fixed-K320-E1/101027_OUT.png,dataset/BSDS500/ground_truth/101027_4.png,101,8,0.9041,0.191799
dumps/cuda-mst-naive-new-fixed-K320-E1/101084_OUT.png,dataset/BSDS500/ground_truth/101084_0.png,87,9,0.872715,0.254571
dumps/cuda-mst-naive-new-fixed-K320-E1/101084_OUT.png,dataset/BSDS500/ground_truth/101084_1.png,87,23,0.864159,0.271682
dumps/cuda-mst-naive-new-fixed-K320-E1/101084_OUT.png,dataset/BSDS500/ground_truth/101084_2.png,87,12,0.869094,0.261812
dumps/cuda-mst-naive-new-fixed-K320-E1/101084_OUT.png,dataset/BSDS500/ground_truth/101084_3.png,87,51,0.747838,0.487503
dumps/cuda-mst-naive-new-fixed-K320-E1/101084_OUT.png,dataset/BSDS500/ground_truth/101084_4.png,87,18,0.848971,0.302058
dumps/cuda-mst-naive-new-fixed-K320-E1/101084_OUT.png,dataset/BSDS500/ground_truth/101084_5.png,87,17,0.825513,0.345432
dumps/cuda-mst-naive-new-fixed-K320-E1/101085_OUT.png,dataset/BSDS500/ground_truth/101085_0.png,106,26,0.794788,0.39674
dumps/cuda-mst-naive-new-fixed-K320-E1/101085_OUT.png,dataset/BSDS500/ground_truth/101085_1.png,106,61,0.773026,0.432873
dumps/cuda-mst-naive-new-fixed-K320-E1/101085_OUT.png,dataset/BSDS500/ground_truth/101085_2.png,106,41,0.782961,0.420295
dumps/cuda-mst-naive-new-fixed-K320-E1/101085_OUT.png,dataset/BSDS500/ground_truth/101085_3.png,106,21,0.808065,0.37889
dumps/cuda-mst-naive-new-fixed-K320-E1/101085_OUT.png,dataset/BSDS500/ground_truth/101085_4.png,106,42,0.783725,0.413268
dumps/cuda-mst-naive-new-fixed-K320-E1/101087_OUT.png,dataset/BSDS500/ground_truth/101087_0.png,50,29,0.86298,0.273172
dumps/cuda-mst-naive-new-fixed-K320-E1/101087_OUT.png,dataset/BSDS500/ground_truth/101087_1.png,50,43,0.835649,0.326241
dumps/cuda-mst-naive-new-fixed-K320-E1/101087_OUT.png,dataset/BSDS500/ground_truth/101087_2.png,50,34,0.85458,0.271151
dumps/cuda-mst-naive-new-fixed-K320-E1/101087_OUT.png,dataset/BSDS500/ground_truth/101087_3.png,50,57,0.791886,0.39163
dumps/cuda-mst-naive-new-fixed-K320-E1/101087_OUT.png,dataset/BSDS500/ground_truth/101087_4.png,50,32,0.836607,0.304467
dumps/cuda-mst-naive-new-fixed-K320-E1/102061_OUT.png,dataset/BSDS500/ground_truth/102061_0.png,104,8,0.959657,0.0803363
dumps/cuda-mst-naive-new-fixed-K320-E1/102061_OUT.png,dataset/BSDS500/ground_truth/102061_1.png,104,12,0.842048,0.315898
dumps/cuda-mst-naive-new-fixed-K320-E1/102061_OUT.png,dataset/BSDS500/ground_truth/102061_2.png,104,7,0.966801,0.0663985
dumps/cuda-mst-naive-new-fixed-K320-E1/102061_OUT.png,dataset/BSDS500/ground_truth/102061_3.png,104,15,0.94318,0.113607
dumps/cuda-mst-naive-new-fixed-K320-E1/102061_OUT.png,dataset/BSDS500/ground_truth/102061_4.png,104,19,0.935272,0.129293
dumps/cuda-mst-naive-new-fixed-K320-E1/102062_OUT.png,dataset/BSDS500/ground_truth/102062_0.png,128,42,0.848602,0.270814
dumps/cuda-mst-naive-new-fixed-K320-E1/102062_OUT.png,dataset/BSDS500/ground_truth/102062_1.png,128,37,0.866983,0.241669
dumps/cuda-mst-naive-new-fixed-K320-E1/102062_OUT.png,dataset/BSDS500/ground_truth/102062_2.png,128,8,0.948569,0.102862
dumps/cuda-mst-naive-new-fixed-K320-E1/102062_OUT.png,dataset/BSDS500/ground_truth/102062_3.png,128,24,0.878433,0.229571
dumps/cuda-mst-naive-new-fixed-K320-E1/102062_OUT.png,dataset/BSDS500/ground_truth/102062_4.png,128,57,0.838991,0.293476
dumps/cuda-mst-naive-new-fixed-K320-E1/103006_OUT.png,dataset/BSDS500/ground_truth/103006_0.png,98,4,0.915363,0.169274
dumps/cuda-mst-naive-new-fixed-K320-E1/103006_OUT.png,dataset/BSDS500/ground_truth/103006_1.png,98,3,0.922144,0.155711
dumps/cuda-mst-naive-new-fixed-K320-E1/103006_OUT.png,dataset/BSDS500/ground_truth/103006_2.png,98,23,0.750759,0.407802
dumps/cuda-mst-naive-new-fixed-K320-E1/103006_OUT.png,dataset/BSDS500/ground_truth/103006_3.png,98,7,0.833395,0.332796
dumps/cuda-mst-naive-new-fixed-K320-E1/103006_OUT.png,dataset/BSDS500/ground_truth/103006_4.png,98,8,0.887455,0.225089
dumps/cuda-mst-naive-new-fixed-K320-E1/103029_OUT.png,dataset/BSDS500/ground_truth/103029_0.png,14,12,0.409596,0.82776
dumps/cuda-mst-naive-new-fixed-K320-E1/103029_OUT.png,dataset/BSDS500/ground_truth/103029_1.png,14,3,0.748667,0.502665
dumps/cuda-mst-naive-new-fixed-K320-E1/103029_OUT.png,dataset/BSDS500/ground_truth/103029_2.png,14,9,0.399771,0.845921
dumps/cuda-mst-naive-new-fixed-K320-E1/103029_OUT.png,dataset/BSDS500/ground_truth/103029_3.png,14,7,0.402841,0.842125
dumps/cuda-mst-naive-new-fixed-K320-E1/103029_OUT.png,dataset/BSDS500/ground_truth/103029_4.png,14,9,0.75278,0.49444
dumps/cuda-mst-naive-new-fixed-K320-E1/103029_OUT.png,dataset/BSDS500/ground_truth/103029_5.png,14,18,0.400418,0.844159
dumps/cuda-mst-naive-new-fixed-K320-E1/103029_OUT.png,dataset/BSDS500/ground_truth/103029_6.png,14,8,0.748894,0.502212
dumps/cuda-mst-naive-new-fixed-K320-E1/103029_OUT.png,dataset/BSDS500/ground_truth/103029_7.png,14,10,0.75324,0.49352
dumps/cuda-mst-naive-new-fixed-K320-E1/103041_OUT.png,dataset/BSDS500/ground_truth/103041_0.png,36,6,0.813129,0.373741
dumps/cuda-mst-naive-new-fixed-K320-E1/103041_OUT.png,dataset/BSDS500/ground_truth/103041_1.png,36,11,0.820526,0.358923
dumps/cuda-mst-naive-new-fixed-K320-E1/103041_OUT.png,dataset/BSDS500/ground_truth/103041_2.png,36,10,0.694769,0.610462
dumps/cuda-mst-naive-new-fixed-K320-E1/103041_OUT.png,dataset/BSDS500/ground_truth/103041_3.png,36,10,0.815785,0.36843
dumps/cuda-mst-naive-new-fixed-K320-E1/103041_OUT.png,dataset/BSDS500/ground_truth/103041_4.png,36,13,0.799574,0.392886
dumps/cuda-mst-naive-new-fixed-K320-E1/103041_OUT.png,dataset/BSDS500/ground_truth/103041_5.png,36,27,0.669206,0.652975
dumps/cuda-mst-naive-new-fixed-K320-E1/103070_OUT.png,dataset/BSDS500/ground_truth/103070_0.png,52,4,0.852605,0.294389
dumps/cuda-mst-naive-new-fixed-K320-E1/103070_OUT.png,dataset/BSDS500/ground_truth/103070_1.png,52,17,0.644633,0.604873
dumps/cuda-mst-naive-new-fixed-K320-E1/103070_OUT.png,dataset/BSDS500/ground_truth/103070_2.png,52,19,0.627496,0.616227
dumps/cuda-mst-naive-new-fixed-K320-E1/103070_OUT.png,dataset/BSDS500/ground_truth/103070_3.png,52,13,0.704931,0.568261
dumps/cuda-mst-naive-new-fixed-K320-E1/103070_OUT.png,dataset/BSDS500/ground_truth/103070_4.png,52,10,0.820144,0.320335
dumps/cuda-mst-naive-new-fixed-K320-E1/103070_OUT.png,dataset/BSDS500/ground_truth/103070_5.png,52,42,0.601725,0.614387
dumps/cuda-mst-naive-new-fixed-K320-E1/103078_OUT.png,dataset/BSDS500/ground_truth/103078_0.png,73,19,0.880357,0.238528
dumps/cuda-mst-naive-new-fixed-K320-E1/103078_OUT.png,dataset/BSDS500/ground_truth/103078_1.png,73,15,0.887106,0.22551
dumps/cuda-mst-naive-new-fixed-K320-E1/103078_OUT.png,dataset/BSDS500/ground_truth/103078_2.png,73,12,0.891749,0.214804
dumps/cuda-mst-naive-new-fixed-K320-E1/103078_OUT.png,dataset/BSDS500/ground_truth/103078_3.png,73,13,0.854807,0.290387
dumps/cuda-mst-naive-new-fixed-K320-E1/103078_OUT.png,dataset/BSDS500/ground_truth/103078_4.png,73,9,0.891154,0.217693
dumps/cuda-mst-naive-new-fixed-K320-E1/104010_OUT.png,dataset/BSDS500/ground_truth/104010_0.png,51,13,0.824224,0.330464
dumps/cuda-mst-naive-new-fixed-K320-E1/104010_OUT.png,dataset/BSDS500/ground_truth/104010_1.png,51,4,0.87879,0.242421
dumps/cuda-mst-naive-new-fixed-K320-E1/104010_OUT.png,dataset/BSDS500/ground_truth/104010_2.png,51,44,0.834723,0.31095
dumps/cuda-mst-naive-new-fixed-K320-E1/104010_OUT.png,dataset/BSDS500/ground_truth/104010_3.png,51,12,0.880642,0.233269
