output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/cpu-baseline-K080/100007_OUT.png,dataset/BSDS500/ground_truth/100007_0.png,452,5,0.990564,0.0188729
dumps/cpu-baseline-K080/100007_OUT.png,dataset/BSDS500/ground_truth/100007_1.png,452,7,0.984832,0.0291967
dumps/cpu-baseline-K080/100007_OUT.png,dataset/BSDS500/ground_truth/100007_2.png,452,8,0.970512,0.0589763
dumps/cpu-baseline-K080/100007_OUT.png,dataset/BSDS500/ground_truth/100007_3.png,452,13,0.983575,0.0326617
dumps/cpu-baseline-K080/100007_OUT.png,dataset/BSDS500/ground_truth/100007_4.png,452,19,0.967377,0.0629918
dumps/cpu-baseline-K080/100039_OUT.png,dataset/BSDS500/ground_truth/100039_0.png,855,11,0.975745,0.0483222
dumps/cpu-baseline-K080/100039_OUT.png,dataset/BSDS500/ground_truth/100039_1.png,855,61,0.894806,0.209241
dumps/cpu-baseline-K080/100039_OUT.png,dataset/BSDS500/ground_truth/100039_2.png,855,4,0.983659,0.0326811
dumps/cpu-baseline-K080/100039_OUT.png,dataset/BSDS500/ground_truth/100039_3.png,855,5,0.983439,0.0331215
dumps/cpu-baseline-K080/100039_OUT.png,dataset/BSDS500/ground_truth/100039_4.png,855,21,0.950376,0.0990019
dumps/cpu-baseline-K080/100075_OUT.png,dataset/BSDS500/ground_truth/100075_0.png,509,18,0.940868,0.118212
dumps/cpu-baseline-K080/100075_OUT.png,dataset/BSDS500/ground_truth/100075_1.png,509,5,0.958796,0.0821627
dumps/cpu-baseline-K080/100075_OUT.png,dataset/BSDS500/ground_truth/100075_2.png,509,13,0.934016,0.131534
dumps/cpu-baseline-K080/100075_OUT.png,dataset/BSDS500/ground_truth/100075_3.png,509,16,0.9323,0.132383
dumps/cpu-baseline-K080/100075_OUT.png,dataset/BSDS500/ground_truth/100075_4.png,509,30,0.900836,0.194429
dumps/cpu-baseline-K080/100075_OUT.png,dataset/BSDS500/ground_truth/100075_5.png,509,16,0.924605,0.149921
dumps/cpu-baseline-K080/100080_OUT.png,dataset/BSDS500/ground_truth/100080_0.png,260,7,0.945693,0.108302
dumps/cpu-baseline-K080/100080_OUT.png,dataset/BSDS500/ground_truth/100080_1.png,260,35,0.910214,0.179571
dumps/cpu-baseline-K080/100080_OUT.png,dataset/BSDS500/ground_truth/100080_2.png,260,4,0.927293,0.145414
dumps/cpu-baseline-K080/100080_OUT.png,dataset/BSDS500/ground_truth/100080_3.png,260,27,0.917591,0.16472
dumps/cpu-baseline-K080/100080_OUT.png,dataset/BSDS500/ground_truth/100080_4.png,260,12,0.944392,0.111217
dumps/cpu-baseline-K080/100098_OUT.png,dataset/BSDS500/ground_truth/100098_0.png,1225,67,0.939677,0.12042
dumps/cpu-baseline-K080/100098_OUT.png,dataset/BSDS500/ground_truth/100098_1.png,1225,45,0.937844,0.123963
dumps/cpu-baseline-K080/100098_OUT.png,dataset/BSDS500/ground_truth/100098_2.png,1225,22,0.9507,0.0981276
dumps/cpu-baseline-K080/100098_OUT.png,dataset/BSDS500/ground_truth/100098_3.png,1225,2,0.982908,0.0341837
dumps/cpu-baseline-K080/100098_OUT.png,dataset/BSDS500/ground_truth/100098_4.png,1225,24,0.937241,0.125355
dumps/cpu-baseline-K080/100099_OUT.png,dataset/BSDS500/ground_truth/100099_0.png,258,7,0.96741,0.0648765
dumps/cpu-baseline-K080/100099_OUT.png,dataset/BSDS500/ground_truth/100099_1.png,258,8,0.941302,0.117396
dumps/cpu-baseline-K080/100099_OUT.png,dataset/BSDS500/ground_truth/100099_2.png,258,4,0.966593,0.0665345
dumps/cpu-baseline-K080/100099_OUT.png,dataset/BSDS500/ground_truth/100099_3.png,258,6,0.939987,0.119747
dumps/cpu-baseline-K080/100099_OUT.png,dataset/BSDS500/ground_truth/100099_4.png,258,6,0.939094,0.121806
dumps/cpu-baseline-K080/10081_OUT.png,dataset/BSDS500/ground_truth/10081_0.png,493,20,0.975162,0.0493067
dumps/cpu-baseline-K080/10081_OUT.png,dataset/BSDS500/ground_truth/10081_1.png,493,11,0.988633,0.022733
dumps/cpu-baseline-K080/10081_OUT.png,dataset/BSDS500/ground_truth/10081_2.png,493,6,0.989359,0.0212822
dumps/cpu-baseline-K080/10081_OUT.png,dataset/BSDS500/ground_truth/10081_3.png,493,16,0.984346,0.0311721
dumps/cpu-baseline-K080/10081_OUT.png,dataset/BSDS500/ground_truth/10081_4.png,493,18,0.976056,0.0475062
dumps/cpu-baseline-K080/101027_OUT.png,dataset/BSDS500/ground_truth/101027_0.png,745,9,0.973893,0.0518649
dumps/cpu-baseline-K080/101027_OUT.png,dataset/BSDS500/ground_truth/101027_1.png,745,15,0.968446,0.062953
dumps/cpu-baseline-K080/101027_OUT.png,dataset/BSDS500/ground_truth/101027_2.png,745,12,0.952695,0.0946108
dumps/cpu-baseline-K080/101027_OUT.png,dataset/BSDS500/ground_truth/101027_3.png,745,12,0.97149,0.0567095
dumps/cpu-baseline-K080/101027_OUT.png,dataset/BSDS500/ground_truth/101027_4.png,745,8,0.975985,0.0479077
dumps/cpu-baseline-K080/101084_OUT.png,dataset/BSDS500/ground_truth/101084_0.png,824,9,0.982992,0.0340153
dumps/cpu-baseline-K080/101084_OUT.png,dataset/BSDS500/ground_truth/101084_1.png,824,23,0.978511,0.042843
dumps/cpu-baseline-K080/101084_OUT.png,dataset/BSDS500/ground_truth/101084_2.png,824,12,0.980849,0.0382251
dumps/cpu-baseline-K080/101084_OUT.png,dataset/BSDS500/ground_truth/101084_3.png,824,51,0.939871,0.117985
dumps/cpu-baseline-K080/101084_OUT.png,dataset/BSDS500/ground_truth/101084_4.png,824,18,0.970564,0.0587496
dumps/cpu-baseline-K080/101084_OUT.png,dataset/BSDS500/ground_truth/101084_5.png,824,17,0.970551,0.0583675
dumps/cpu-baseline-K080/101085_OUT.png,dataset/BSDS500/ground_truth/101085_0.png,857,26,0.967682,0.0645916
dumps/cpu-baseline-K080/101085_OUT.png,dataset/BSDS500/ground_truth/101085_1.png,857,61,0.95579,0.0872339
dumps/cpu-baseline-K080/101085_OUT.png,dataset/BSDS500/ground_truth/101085_2.png,857,41,0.954877,0.0900448
dumps/cpu-baseline-K080/101085_OUT.png,dataset/BSDS500/ground_truth/101085_3.png,857,21,0.971263,0.0573442
dumps/cpu-baseline-K080/101085_OUT.png,dataset/BSDS500/ground_truth/101085_4.png,857,42,0.965039,0.0698376
dumps/cpu-baseline-K080/101087_OUT.png,dataset/BSDS500/ground_truth/101087_0.png,438,29,0.956367,0.086107
dumps/cpu-baseline-K080/101087_OUT.png,dataset/BSDS500/ground_truth/101087_1.png,438,43,0.951995,0.0945072
dumps/cpu-baseline-K080/101087_OUT.png,dataset/BSDS500/ground_truth/101087_2.png,438,34,0.95877,0.0815668
dumps/cpu-baseline-K080/101087_OUT.png,dataset/BSDS500/ground_truth/101087_3.png,438,57,0.936037,0.125647
dumps/cpu-baseline-K080/101087_OUT.png,dataset/BSDS500/ground_truth/101087_4.png,438,32,0.944178,0.110394
dumps/cpu-baseline-K080/102061_OUT.png,dataset/BSDS500/ground_truth/102061_0.png,591,8,0.984877,0.0301876
dumps/cpu-baseline-K080/102061_OUT.png,dataset/BSDS500/ground_truth/102061_1.png,591,12,0.937138,0.125725
dumps/cpu-baseline-K080/102061_OUT.png,dataset/BSDS500/ground_truth/102061_2.png,591,7,0.989955,0.0199027
dumps/cpu-baseline-K080/102061_OUT.png,dataset/BSDS500/ground_truth/102061_3.png,591,15,0.984909,0.0300905
dumps/cpu-baseline-K080/102061_OUT.png,dataset/BSDS500/ground_truth/102061_4.png,591,19,0.98195,0.0358094
dumps/cpu-baseline-K080/102062_OUT.png,dataset/BSDS500/ground_truth/102062_0.png,938,42,0.937921,0.11906
dumps/cpu-baseline-K080/102062_OUT.png,dataset/BSDS500/ground_truth/102062_1.png,938,37,0.944994,0.106495
dumps/cpu-baseline-K080/102062_OUT.png,dataset/BSDS500/ground_truth/102062_2.png,938,8,0.984521,0.0309324
dumps/cpu-baseline-K080/102062_OUT.png,dataset/BSDS500/ground_truth/102062_3.png,938,24,0.953834,0.0902973
dumps/cpu-baseline-K080/102062_OUT.png,dataset/BSDS500/ground_truth/102062_4.png,938,57,0.932585,0.131223
dumps/cpu-baseline-K080/103006_OUT.png,dataset/BSDS500/ground_truth/103006_0.png,889,4,0.955408,0.0891834
dumps/cpu-baseline-K080/103006_OUT.png,dataset/BSDS500/ground_truth/103006_1.png,889,3,0.954171,0.0916315
dumps/cpu-baseline-K080/103006_OUT.png,dataset/BSDS500/ground_truth/103006_2.png,889,23,0.916361,0.166987
dumps/cpu-baseline-K080/103006_OUT.png,dataset/BSDS500/ground_truth/103006_3.png,889,7,0.941542,0.116852
dumps/cpu-baseline-K080/103006_OUT.png,dataset/BSDS500/ground_truth/103006_4.png,889,8,0.952274,0.0954527
dumps/cpu-baseline-K080/103029_OUT.png,dataset/BSDS500/ground_truth/103029_0.png,313,12,0.914612,0.169837
