output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/rec-mst-new-S3/100007_OUT.png,dataset/BSDS500/ground_truth/100007_0.png,501,5,0.984268,0.0314635
dumps/rec-mst-new-S3/100007_OUT.png,dataset/BSDS500/ground_truth/100007_1.png,501,7,0.980389,0.0392096
dumps/rec-mst-new-S3/100007_OUT.png,dataset/BSDS500/ground_truth/100007_2.png,501,8,0.957669,0.0846627
dumps/rec-mst-new-S3/100007_OUT.png,dataset/BSDS500/ground_truth/100007_3.png,501,13,0.972293,0.0554141
dumps/rec-mst-new-S3/100007_OUT.png,dataset/BSDS500/ground_truth/100007_4.png,501,19,0.957034,0.0856989
dumps/rec-mst-new-S3/100039_OUT.png,dataset/BSDS500/ground_truth/100039_0.png,449,11,0.96059,0.0787106
dumps/rec-mst-new-S3/100039_OUT.png,dataset/BSDS500/ground_truth/100039_1.png,449,61,0.888576,0.221793
dumps/rec-mst-new-S3/100039_OUT.png,dataset/BSDS500/ground_truth/100039_2.png,449,4,0.972163,0.0556732
dumps/rec-mst-new-S3/100039_OUT.png,dataset/BSDS500/ground_truth/100039_3.png,449,5,0.970946,0.0581084
dumps/rec-mst-new-S3/100039_OUT.png,dataset/BSDS500/ground_truth/100039_4.png,449,21,0.92094,0.157557
dumps/rec-mst-new-S3/100075_OUT.png,dataset/BSDS500/ground_truth/100075_0.png,450,18,0.942403,0.11259
dumps/rec-mst-new-S3/100075_OUT.png,dataset/BSDS500/ground_truth/100075_1.png,450,5,0.961755,0.0761329
dumps/rec-mst-new-S3/100075_OUT.png,dataset/BSDS500/ground_truth/100075_2.png,450,13,0.935434,0.128503
dumps/rec-mst-new-S3/100075_OUT.png,dataset/BSDS500/ground_truth/100075_3.png,450,16,0.941231,0.115504
dumps/rec-mst-new-S3/100075_OUT.png,dataset/BSDS500/ground_truth/100075_4.png,450,30,0.908653,0.181029
dumps/rec-mst-new-S3/100075_OUT.png,dataset/BSDS500/ground_truth/100075_5.png,450,16,0.940389,0.118866
dumps/rec-mst-new-S3/100080_OUT.png,dataset/BSDS500/ground_truth/100080_0.png,433,7,0.950357,0.0992869
dumps/rec-mst-new-S3/100080_OUT.png,dataset/BSDS500/ground_truth/100080_1.png,433,35,0.906464,0.186877
dumps/rec-mst-new-S3/100080_OUT.png,dataset/BSDS500/ground_truth/100080_2.png,433,4,0.972694,0.054611
dumps/rec-mst-new-S3/100080_OUT.png,dataset/BSDS500/ground_truth/100080_3.png,433,27,0.919366,0.160964
dumps/rec-mst-new-S3/100080_OUT.png,dataset/BSDS500/ground_truth/100080_4.png,433,12,0.949715,0.100563
dumps/rec-mst-new-S3/100098_OUT.png,dataset/BSDS500/ground_truth/100098_0.png,422,67,0.878692,0.240666
dumps/rec-mst-new-S3/100098_OUT.png,dataset/BSDS500/ground_truth/100098_1.png,422,45,0.8798,0.236948
dumps/rec-mst-new-S3/100098_OUT.png,dataset/BSDS500/ground_truth/100098_2.png,422,22,0.913783,0.171994
dumps/rec-mst-new-S3/100098_OUT.png,dataset/BSDS500/ground_truth/100098_3.png,422,2,0.969864,0.0602716
dumps/rec-mst-new-S3/100098_OUT.png,dataset/BSDS500/ground_truth/100098_4.png,422,24,0.90276,0.193969
dumps/rec-mst-new-S3/100099_OUT.png,dataset/BSDS500/ground_truth/100099_0.png,457,7,0.96399,0.0720203
dumps/rec-mst-new-S3/100099_OUT.png,dataset/BSDS500/ground_truth/100099_1.png,457,8,0.952144,0.0957118
dumps/rec-mst-new-S3/100099_OUT.png,dataset/BSDS500/ground_truth/100099_2.png,457,4,0.965991,0.0680177
