output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/amory-final/100007_OUT.png,dataset/BSDS500/ground_truth/100007_0.png,109,5,0.959728,0.0805435
dumps/amory-final/100007_OUT.png,dataset/BSDS500/ground_truth/100007_1.png,109,7,0.955402,0.0874865
dumps/amory-final/100007_OUT.png,dataset/BSDS500/ground_truth/100007_2.png,109,8,0.909521,0.180815
dumps/amory-final/100007_OUT.png,dataset/BSDS500/ground_truth/100007_3.png,109,13,0.945149,0.103626
dumps/amory-final/100007_OUT.png,dataset/BSDS500/ground_truth/100007_4.png,109,19,0.921322,0.154183
dumps/amory-final/100039_OUT.png,dataset/BSDS500/ground_truth/100039_0.png,117,11,0.911004,0.176022
dumps/amory-final/100039_OUT.png,dataset/BSDS500/ground_truth/100039_1.png,117,61,0.802994,0.380814
dumps/amory-final/100039_OUT.png,dataset/BSDS500/ground_truth/100039_2.png,117,4,0.938375,0.122583
dumps/amory-final/100039_OUT.png,dataset/BSDS500/ground_truth/100039_3.png,117,5,0.933161,0.131728
dumps/amory-final/100039_OUT.png,dataset/BSDS500/ground_truth/100039_4.png,117,21,0.854975,0.288709
dumps/amory-final/100075_OUT.png,dataset/BSDS500/ground_truth/100075_0.png,108,18,0.876341,0.246462
dumps/amory-final/100075_OUT.png,dataset/BSDS500/ground_truth/100075_1.png,108,5,0.925311,0.148373
dumps/amory-final/100075_OUT.png,dataset/BSDS500/ground_truth/100075_2.png,108,13,0.890143,0.215497
dumps/amory-final/100075_OUT.png,dataset/BSDS500/ground_truth/100075_3.png,108,16,0.894541,0.209455
dumps/amory-final/100075_OUT.png,dataset/BSDS500/ground_truth/100075_4.png,108,30,0.845221,0.302861
dumps/amory-final/100075_OUT.png,dataset/BSDS500/ground_truth/100075_5.png,108,16,0.86368,0.271637
dumps/amory-final/100080_OUT.png,dataset/BSDS500/ground_truth/100080_0.png,132,7,0.926918,0.146165
dumps/amory-final/100080_OUT.png,dataset/BSDS500/ground_truth/100080_1.png,132,35,0.88081,0.237356
dumps/amory-final/100080_OUT.png,dataset/BSDS500/ground_truth/100080_2.png,132,4,0.945687,0.108626
dumps/amory-final/100080_OUT.png,dataset/BSDS500/ground_truth/100080_3.png,132,27,0.898245,0.202758
