output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/gpu-baseline-S3/100007_OUT.png,dataset/BSDS500/ground_truth/100007_0.png,133,5,0.652483,0.675527
dumps/gpu-baseline-S3/100007_OUT.png,dataset/BSDS500/ground_truth/100007_1.png,133,7,0.648571,0.682509
dumps/gpu-baseline-S3/100007_OUT.png,dataset/BSDS500/ground_truth/100007_2.png,133,8,0.640935,0.694756
dumps/gpu-baseline-S3/100007_OUT.png,dataset/BSDS500/ground_truth/100007_3.png,133,13,0.643759,0.68929
dumps/gpu-baseline-S3/100007_OUT.png,dataset/BSDS500/ground_truth/100007_4.png,133,19,0.64225,0.692774
dumps/gpu-baseline-S3/100039_OUT.png,dataset/BSDS500/ground_truth/100039_0.png,133,11,0.63839,0.675669
dumps/gpu-baseline-S3/100039_OUT.png,dataset/BSDS500/ground_truth/100039_1.png,133,61,0.486687,0.874509
dumps/gpu-baseline-S3/100039_OUT.png,dataset/BSDS500/ground_truth/100039_2.png,133,4,0.644717,0.670611
dumps/gpu-baseline-S3/100039_OUT.png,dataset/BSDS500/ground_truth/100039_3.png,133,5,0.646952,0.666285
dumps/gpu-baseline-S3/100039_OUT.png,dataset/BSDS500/ground_truth/100039_4.png,133,21,0.564336,0.795461
dumps/gpu-baseline-S3/100075_OUT.png,dataset/BSDS500/ground_truth/100075_0.png,133,18,0.45762,0.919482
dumps/gpu-baseline-S3/100075_OUT.png,dataset/BSDS500/ground_truth/100075_1.png,133,5,0.643299,0.69006
dumps/gpu-baseline-S3/100075_OUT.png,dataset/BSDS500/ground_truth/100075_2.png,133,13,0.469718,0.910221
dumps/gpu-baseline-S3/100075_OUT.png,dataset/BSDS500/ground_truth/100075_3.png,133,16,0.474977,0.906315
dumps/gpu-baseline-S3/100075_OUT.png,dataset/BSDS500/ground_truth/100075_4.png,133,30,0.444654,0.939068
dumps/gpu-baseline-S3/100075_OUT.png,dataset/BSDS500/ground_truth/100075_5.png,133,16,0.464362,0.9157
dumps/gpu-baseline-S3/100080_OUT.png,dataset/BSDS500/ground_truth/100080_0.png,133,7,0.677981,0.630605
dumps/gpu-baseline-S3/100080_OUT.png,dataset/BSDS500/ground_truth/100080_1.png,133,35,0.6303,0.708409
dumps/gpu-baseline-S3/100080_OUT.png,dataset/BSDS500/ground_truth/100080_2.png,133,4,0.73903,0.513229
dumps/gpu-baseline-S3/100080_OUT.png,dataset/BSDS500/ground_truth/100080_3.png,133,27,0.633986,0.699497
dumps/gpu-baseline-S3/100080_OUT.png,dataset/BSDS500/ground_truth/100080_4.png,133,12,0.672852,0.638532
dumps/gpu-baseline-S3/100098_OUT.png,dataset/BSDS500/ground_truth/100098_0.png,133,67,0.557801,0.811672
dumps/gpu-baseline-S3/100098_OUT.png,dataset/BSDS500/ground_truth/100098_1.png,133,45,0.534511,0.840014
dumps/gpu-baseline-S3/100098_OUT.png,dataset/BSDS500/ground_truth/100098_2.png,133,22,0.582963,0.774321
dumps/gpu-baseline-S3/100098_OUT.png,dataset/BSDS500/ground_truth/100098_3.png,133,2,0.822987,0.354026
dumps/gpu-baseline-S3/100098_OUT.png,dataset/BSDS500/ground_truth/100098_4.png,133,24,0.549511,0.819399
dumps/gpu-baseline-S3/100099_OUT.png,dataset/BSDS500/ground_truth/100099_0.png,133,7,0.576402,0.79561
dumps/gpu-baseline-S3/100099_OUT.png,dataset/BSDS500/ground_truth/100099_1.png,133,8,0.60508,0.747845
