output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/akanksha-final-S4/100007_OUT.png,dataset/BSDS500/ground_truth/100007_0.png,56,5,0.985609,0.0287822
dumps/akanksha-final-S4/100007_OUT.png,dataset/BSDS500/ground_truth/100007_1.png,56,7,0.980337,0.0390412
dumps/akanksha-final-S4/100007_OUT.png,dataset/BSDS500/ground_truth/100007_2.png,56,8,0.949579,0.100841
dumps/akanksha-final-S4/100007_OUT.png,dataset/BSDS500/ground_truth/100007_3.png,56,13,0.963873,0.0722534
dumps/akanksha-final-S4/100007_OUT.png,dataset/BSDS500/ground_truth/100007_4.png,56,19,0.946153,0.106023
dumps/akanksha-final-S4/100039_OUT.png,dataset/BSDS500/ground_truth/100039_0.png,86,11,0.787126,0.419822
dumps/akanksha-final-S4/100039_OUT.png,dataset/BSDS500/ground_truth/100039_1.png,86,61,0.620974,0.594847
dumps/akanksha-final-S4/100039_OUT.png,dataset/BSDS500/ground_truth/100039_2.png,86,4,0.795668,0.408663
dumps/akanksha-final-S4/100039_OUT.png,dataset/BSDS500/ground_truth/100039_3.png,86,5,0.794788,0.410425
dumps/akanksha-final-S4/100039_OUT.png,dataset/BSDS500/ground_truth/100039_4.png,86,21,0.721679,0.542406
dumps/akanksha-final-S4/100075_OUT.png,dataset/BSDS500/ground_truth/100075_0.png,93,18,0.844574,0.29163
dumps/akanksha-final-S4/100075_OUT.png,dataset/BSDS500/ground_truth/100075_1.png,93,5,0.887339,0.206851
dumps/akanksha-final-S4/100075_OUT.png,dataset/BSDS500/ground_truth/100075_2.png,93,13,0.840292,0.301255
dumps/akanksha-final-S4/100075_OUT.png,dataset/BSDS500/ground_truth/100075_3.png,93,16,0.847235,0.287025
dumps/akanksha-final-S4/100075_OUT.png,dataset/BSDS500/ground_truth/100075_4.png,93,30,0.823803,0.330011
dumps/akanksha-final-S4/100075_OUT.png,dataset/BSDS500/ground_truth/100075_5.png,93,16,0.843537,0.29277
dumps/akanksha-final-S4/100080_OUT.png,dataset/BSDS500/ground_truth/100080_0.png,38,7,0.843764,0.312472
dumps/akanksha-final-S4/100080_OUT.png,dataset/BSDS500/ground_truth/100080_1.png,38,35,0.744082,0.511836
dumps/akanksha-final-S4/100080_OUT.png,dataset/BSDS500/ground_truth/100080_2.png,38,4,0.859204,0.281591
dumps/akanksha-final-S4/100080_OUT.png,dataset/BSDS500/ground_truth/100080_3.png,38,27,0.789762,0.420477
dumps/akanksha-final-S4/100080_OUT.png,dataset/BSDS500/ground_truth/100080_4.png,38,12,0.829593,0.340814
dumps/akanksha-final-S4/100098_OUT.png,dataset/BSDS500/ground_truth/100098_0.png,25,67,0.635035,0.674614
dumps/akanksha-final-S4/100098_OUT.png,dataset/BSDS500/ground_truth/100098_1.png,25,45,0.652295,0.647593
dumps/akanksha-final-S4/100098_OUT.png,dataset/BSDS500/ground_truth/100098_2.png,25,22,0.665818,0.621401
dumps/akanksha-final-S4/100098_OUT.png,dataset/BSDS500/ground_truth/100098_3.png,25,2,0.788823,0.422355
dumps/akanksha-final-S4/100098_OUT.png,dataset/BSDS500/ground_truth/100098_4.png,25,24,0.615708,0.731595
