gaussian, graph, segmentation, output
3628, 17831, 122635, 14848
3518, 18079, 123288, 14136
3476, 18545, 122600, 23857
3712, 18143, 123605, 14209
3529, 18027, 122813, 14209
3631, 17544, 125437, 14454
3910, 18033, 122522, 14419
3701, 18061, 124084, 15049
3561, 18182, 132125, 13984
3586, 18053, 123355, 14904
3513, 17527, 122541, 14333
3472, 18320, 124147, 14693
3453, 18194, 121946, 14692
3429, 17965, 124052, 14362
3522, 18071, 122190, 13961
3541, 17807, 123617, 14449
3456, 18009, 122101, 14812
3521, 18280, 124062, 14945
3492, 18060, 122199, 13785
3474, 18011, 124369, 16390
