gaussian, graph, segmentation, output
203198, 160865, 2217478, 77122
195568, 157088, 2199433, 75096
179843, 157450, 2153265, 74655
178507, 157646, 2202422, 76428
177990, 157084, 2201289, 74973
179160, 158258, 2216597, 74976
179295, 156964, 2216319, 74935
179563, 158868, 2203146, 74912
178769, 157400, 2211481, 76956
178693, 157061, 2221754, 74876
178623, 157113, 2212094, 74893
178390, 157145, 2172850, 74645
178491, 158862, 2169531, 74949
177610, 156931, 2237335, 74983
179623, 156732, 2164020, 74878
177682, 156937, 2197884, 74653
177765, 157015, 2192304, 74450
176831, 160194, 2091230, 74567
177095, 156178, 2117112, 74712
177036, 159399, 2112627, 74794
