gaussian, graph, segmentation, output
3391, 12895, 26642, 3625
3400, 12877, 26673, 3588
3437, 12873, 26652, 3598
3424, 12881, 26638, 3606
3432, 12871, 26541, 3593
3437, 12831, 26608, 3597
3419, 12885, 26631, 3610
3420, 12905, 26630, 3603
3424, 12921, 26711, 3592
3426, 12872, 26574, 3595
3423, 12874, 26593, 3592
3412, 12951, 26599, 3597
3435, 12897, 26648, 3828
3438, 12894, 26597, 5926
3484, 12914, 26688, 3713
3395, 12866, 26682, 3647
3389, 12896, 26602, 3618
3388, 12873, 26624, 3610
3392, 12874, 26672, 3704
3434, 12898, 26584, 3672
