gaussian, graph, segmentation, output
6964, 53019, 90950, 19204
7024, 52812, 91683, 18963
6942, 52861, 90879, 16953
6887, 52898, 91506, 17338
6956, 53275, 91343, 17017
6884, 52911, 91556, 17386
6960, 53061, 90889, 17458
6905, 53090, 90731, 17903
6945, 53234, 92003, 17150
6908, 53134, 91881, 16862
6903, 53110, 91466, 17673
6933, 52908, 90639, 17290
6927, 52803, 91303, 17108
6992, 52861, 90629, 18058
6960, 52788, 90477, 17558
6912, 52882, 91254, 17406
7076, 53122, 91291, 19243
7015, 52983, 91740, 17483
6919, 53029, 90621, 18501
6950, 53006, 91127, 17229
