gaussian, graph, segmentation, output
20660, 190291, 454638, 296781
20683, 190340, 456590, 298858
20651, 190245, 454954, 302539
20610, 190293, 456923, 307344
20645, 190264, 455417, 295027
20711, 190254, 457566, 299075
20721, 190228, 455008, 302961
20626, 190229, 456868, 307738
20602, 190195, 455487, 298399
20675, 190344, 456669, 299223
20596, 190152, 454837, 297500
20682, 190219, 456415, 331683
20709, 190303, 454977, 296333
20687, 190163, 456493, 300622
20684, 190114, 455444, 291872
20732, 190115, 456908, 295592
20691, 190257, 455490, 291554
20643, 190186, 457165, 295661
20603, 190120, 455390, 291925
20708, 190123, 456744, 296353
