gaussian, graph, segmentation, output
0, 715139, 103648, 3695632
0, 730715, 103870, 3698330
0, 730914, 103362, 3695419
0, 713301, 121981, 3690760
0, 728408, 110650, 3700770
0, 731524, 104176, 3698281
0, 709809, 103690, 3676870
0, 696013, 103620, 3678063
0, 698410, 103745, 3685876
0, 698216, 103388, 3696253
0, 698418, 103832, 3710821
0, 734561, 104199, 3692266
0, 701063, 103997, 3713447
0, 715295, 104504, 3696880
0, 730463, 103897, 3699419
0, 697937, 104031, 3699786
0, 712865, 103599, 3683088
0, 696052, 103279, 3674288
0, 696987, 103509, 3691394
0, 719057, 105163, 3700086
