gaussian, graph, segmentation, output
1917, 4717, 16027, 5561
1914, 4711, 16126, 5550
1895, 4703, 15907, 5349
1846, 4571, 15756, 5357
1899, 4531, 16221, 5475
1826, 4522, 15803, 5444
1923, 4540, 16202, 5628
1820, 4499, 15774, 5582
1840, 4476, 15700, 5642
1838, 4483, 15754, 5427
1834, 4482, 15684, 5503
1817, 4531, 15780, 5594
1908, 4649, 16279, 5619
1859, 4545, 15802, 5522
1932, 4484, 16228, 5550
1832, 4508, 15743, 5452
1825, 4479, 15780, 5411
1822, 4514, 15717, 5470
1812, 4461, 15764, 5509
1821, 4509, 15822, 5588
