output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/fastmst-5-tree/103041_OUT.png,dataset/BSDS500/ground_truth/103041_0.png,38,6,0.934819,0.128976
dumps/fastmst-5-tree/103041_OUT.png,dataset/BSDS500/ground_truth/103041_1.png,38,11,0.940797,0.118406
dumps/fastmst-5-tree/103041_OUT.png,dataset/BSDS500/ground_truth/103041_2.png,38,10,0.916937,0.165608
dumps/fastmst-5-tree/103041_OUT.png,dataset/BSDS500/ground_truth/103041_3.png,38,10,0.929016,0.1411
dumps/fastmst-5-tree/103041_OUT.png,dataset/BSDS500/ground_truth/103041_4.png,38,13,0.918757,0.160614
dumps/fastmst-5-tree/103041_OUT.png,dataset/BSDS500/ground_truth/103041_5.png,38,27,0.861491,0.253224
dumps/fastmst-5-tree/108073_OUT.png,dataset/BSDS500/ground_truth/108073_0.png,32,9,0.946173,0.107655
dumps/fastmst-5-tree/108073_OUT.png,dataset/BSDS500/ground_truth/108073_1.png,32,20,0.834159,0.319596
dumps/fastmst-5-tree/108073_OUT.png,dataset/BSDS500/ground_truth/108073_2.png,32,6,0.928213,0.143574
dumps/fastmst-5-tree/108073_OUT.png,dataset/BSDS500/ground_truth/108073_3.png,32,11,0.940201,0.119598
dumps/fastmst-5-tree/108073_OUT.png,dataset/BSDS500/ground_truth/108073_4.png,32,4,0.931503,0.136994
dumps/fastmst-5-tree/126007_OUT.png,dataset/BSDS500/ground_truth/126007_0.png,49,21,0.920817,0.158367
dumps/fastmst-5-tree/126007_OUT.png,dataset/BSDS500/ground_truth/126007_1.png,49,31,0.873667,0.247485
dumps/fastmst-5-tree/126007_OUT.png,dataset/BSDS500/ground_truth/126007_2.png,49,32,0.881328,0.234228
dumps/fastmst-5-tree/126007_OUT.png,dataset/BSDS500/ground_truth/126007_3.png,49,17,0.916147,0.167706
dumps/fastmst-5-tree/126007_OUT.png,dataset/BSDS500/ground_truth/126007_4.png,49,24,0.893071,0.20518
dumps/fastmst-5-tree/126007_OUT.png,dataset/BSDS500/ground_truth/126007_5.png,49,7,0.921782,0.156437
dumps/fastmst-5-tree/126007_OUT.png,dataset/BSDS500/ground_truth/126007_6.png,49,18,0.906749,0.183334
dumps/fastmst-5-tree/147077_OUT.png,dataset/BSDS500/ground_truth/147077_0.png,27,25,0.824315,0.351371
dumps/fastmst-5-tree/147077_OUT.png,dataset/BSDS500/ground_truth/147077_1.png,27,12,0.827682,0.334344
dumps/fastmst-5-tree/147077_OUT.png,dataset/BSDS500/ground_truth/147077_2.png,27,21,0.78802,0.400567
dumps/fastmst-5-tree/147077_OUT.png,dataset/BSDS500/ground_truth/147077_3.png,27,37,0.745183,0.441545
dumps/fastmst-5-tree/147077_OUT.png,dataset/BSDS500/ground_truth/147077_4.png,27,15,0.82982,0.336941
dumps/fastmst-5-tree/159091_OUT.png,dataset/BSDS500/ground_truth/159091_0.png,29,10,0.942947,0.114105
dumps/fastmst-5-tree/159091_OUT.png,dataset/BSDS500/ground_truth/159091_1.png,29,15,0.818356,0.345043
dumps/fastmst-5-tree/159091_OUT.png,dataset/BSDS500/ground_truth/159091_2.png,29,12,0.961717,0.0765669
dumps/fastmst-5-tree/159091_OUT.png,dataset/BSDS500/ground_truth/159091_3.png,29,11,0.962552,0.0748959
dumps/fastmst-5-tree/159091_OUT.png,dataset/BSDS500/ground_truth/159091_4.png,29,6,0.965797,0.0684063
dumps/fastmst-5-tree/159091_OUT.png,dataset/BSDS500/ground_truth/159091_5.png,29,9,0.923543,0.149332
dumps/fastmst-5-tree/176035_OUT.png,dataset/BSDS500/ground_truth/176035_0.png,44,39,0.887753,0.216896
dumps/fastmst-5-tree/176035_OUT.png,dataset/BSDS500/ground_truth/176035_1.png,44,10,0.943427,0.113147
dumps/fastmst-5-tree/176035_OUT.png,dataset/BSDS500/ground_truth/176035_2.png,44,8,0.959262,0.0808091
dumps/fastmst-5-tree/176035_OUT.png,dataset/BSDS500/ground_truth/176035_3.png,44,15,0.945622,0.108756
dumps/fastmst-5-tree/176035_OUT.png,dataset/BSDS500/ground_truth/176035_4.png,44,26,0.889457,0.221087
dumps/fastmst-5-tree/176035_OUT.png,dataset/BSDS500/ground_truth/176035_5.png,44,24,0.906322,0.18097
dumps/fastmst-5-tree/181018_OUT.png,dataset/BSDS500/ground_truth/181018_0.png,35,10,0.861128,0.277744
dumps/fastmst-5-tree/181018_OUT.png,dataset/BSDS500/ground_truth/181018_1.png,35,28,0.828427,0.335736
dumps/fastmst-5-tree/181018_OUT.png,dataset/BSDS500/ground_truth/181018_2.png,35,31,0.830785,0.330568
dumps/fastmst-5-tree/181018_OUT.png,dataset/BSDS500/ground_truth/181018_3.png,35,23,0.843524,0.30483
dumps/fastmst-5-tree/181018_OUT.png,dataset/BSDS500/ground_truth/181018_4.png,35,25,0.867533,0.264934
dumps/fastmst-5-tree/206097_OUT.png,dataset/BSDS500/ground_truth/206097_0.png,37,18,0.853634,0.282874
dumps/fastmst-5-tree/206097_OUT.png,dataset/BSDS500/ground_truth/206097_1.png,37,4,0.898116,0.203768
dumps/fastmst-5-tree/206097_OUT.png,dataset/BSDS500/ground_truth/206097_2.png,37,15,0.904968,0.190064
dumps/fastmst-5-tree/206097_OUT.png,dataset/BSDS500/ground_truth/206097_3.png,37,36,0.838861,0.300141
dumps/fastmst-5-tree/206097_OUT.png,dataset/BSDS500/ground_truth/206097_4.png,37,23,0.86798,0.26404
dumps/fastmst-5-tree/206097_OUT.png,dataset/BSDS500/ground_truth/206097_5.png,37,21,0.898129,0.189092
dumps/fastmst-5-tree/216081_OUT.png,dataset/BSDS500/ground_truth/216081_0.png,33,66,0.744024,0.45286
dumps/fastmst-5-tree/216081_OUT.png,dataset/BSDS500/ground_truth/216081_1.png,33,57,0.757094,0.48374
dumps/fastmst-5-tree/216081_OUT.png,dataset/BSDS500/ground_truth/216081_2.png,33,84,0.700047,0.506247
dumps/fastmst-5-tree/216081_OUT.png,dataset/BSDS500/ground_truth/216081_3.png,33,60,0.748726,0.461383
dumps/fastmst-5-tree/216081_OUT.png,dataset/BSDS500/ground_truth/216081_4.png,33,124,0.592069,0.66655
dumps/fastmst-5-tree/232076_OUT.png,dataset/BSDS500/ground_truth/232076_0.png,35,6,0.922138,0.153768
