output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/fastmst-5-orig/103041_OUT.png,dataset/BSDS500/ground_truth/103041_0.png,27,6,0.912753,0.174494
dumps/fastmst-5-orig/103041_OUT.png,dataset/BSDS500/ground_truth/103041_1.png,27,11,0.925532,0.148937
dumps/fastmst-5-orig/103041_OUT.png,dataset/BSDS500/ground_truth/103041_2.png,27,10,0.880402,0.239195
dumps/fastmst-5-orig/103041_OUT.png,dataset/BSDS500/ground_truth/103041_3.png,27,10,0.905085,0.18983
dumps/fastmst-5-orig/103041_OUT.png,dataset/BSDS500/ground_truth/103041_4.png,27,13,0.894165,0.209927
dumps/fastmst-5-orig/103041_OUT.png,dataset/BSDS500/ground_truth/103041_5.png,27,27,0.832533,0.313172
dumps/fastmst-5-orig/108073_OUT.png,dataset/BSDS500/ground_truth/108073_0.png,22,9,0.858816,0.282369
dumps/fastmst-5-orig/108073_OUT.png,dataset/BSDS500/ground_truth/108073_1.png,22,20,0.711466,0.560819
dumps/fastmst-5-orig/108073_OUT.png,dataset/BSDS500/ground_truth/108073_2.png,22,6,0.829308,0.341384
dumps/fastmst-5-orig/108073_OUT.png,dataset/BSDS500/ground_truth/108073_3.png,22,11,0.851497,0.297006
dumps/fastmst-5-orig/108073_OUT.png,dataset/BSDS500/ground_truth/108073_4.png,22,4,0.837656,0.324687
dumps/fastmst-5-orig/126007_OUT.png,dataset/BSDS500/ground_truth/126007_0.png,26,21,0.831879,0.33231
dumps/fastmst-5-orig/126007_OUT.png,dataset/BSDS500/ground_truth/126007_1.png,26,31,0.777754,0.43718
dumps/fastmst-5-orig/126007_OUT.png,dataset/BSDS500/ground_truth/126007_2.png,26,32,0.77083,0.449887
dumps/fastmst-5-orig/126007_OUT.png,dataset/BSDS500/ground_truth/126007_3.png,26,17,0.819664,0.352478
dumps/fastmst-5-orig/126007_OUT.png,dataset/BSDS500/ground_truth/126007_4.png,26,24,0.813201,0.365561
dumps/fastmst-5-orig/126007_OUT.png,dataset/BSDS500/ground_truth/126007_5.png,26,7,0.830189,0.336326
dumps/fastmst-5-orig/126007_OUT.png,dataset/BSDS500/ground_truth/126007_6.png,26,18,0.834502,0.328333
dumps/fastmst-5-orig/147077_OUT.png,dataset/BSDS500/ground_truth/147077_0.png,24,25,0.839185,0.32163
