output,ground_truth,out_N,gt_N,asa_score,ue_score
dumps/fastmst-5-sobel/103041_OUT.png,dataset/BSDS500/ground_truth/103041_0.png,31,6,0.902773,0.194455
dumps/fastmst-5-sobel/103041_OUT.png,dataset/BSDS500/ground_truth/103041_1.png,31,11,0.9207,0.1586
dumps/fastmst-5-sobel/103041_OUT.png,dataset/BSDS500/ground_truth/103041_2.png,31,10,0.86936,0.261073
dumps/fastmst-5-sobel/103041_OUT.png,dataset/BSDS500/ground_truth/103041_3.png,31,10,0.894334,0.21132
dumps/fastmst-5-sobel/103041_OUT.png,dataset/BSDS500/ground_truth/103041_4.png,31,13,0.88127,0.236125
dumps/fastmst-5-sobel/103041_OUT.png,dataset/BSDS500/ground_truth/103041_5.png,31,27,0.823816,0.340056
dumps/fastmst-5-sobel/108073_OUT.png,dataset/BSDS500/ground_truth/108073_0.png,27,9,0.892242,0.215517
dumps/fastmst-5-sobel/108073_OUT.png,dataset/BSDS500/ground_truth/108073_1.png,27,20,0.7839,0.417167
dumps/fastmst-5-sobel/108073_OUT.png,dataset/BSDS500/ground_truth/108073_2.png,27,6,0.864457,0.271086
dumps/fastmst-5-sobel/108073_OUT.png,dataset/BSDS500/ground_truth/108073_3.png,27,11,0.882838,0.234325
dumps/fastmst-5-sobel/108073_OUT.png,dataset/BSDS500/ground_truth/108073_4.png,27,4,0.867792,0.264415
dumps/fastmst-5-sobel/126007_OUT.png,dataset/BSDS500/ground_truth/126007_0.png,37,21,0.892345,0.215309
dumps/fastmst-5-sobel/126007_OUT.png,dataset/BSDS500/ground_truth/126007_1.png,37,31,0.860441,0.279117
dumps/fastmst-5-sobel/126007_OUT.png,dataset/BSDS500/ground_truth/126007_2.png,37,32,0.845131,0.302744
dumps/fastmst-5-sobel/126007_OUT.png,dataset/BSDS500/ground_truth/126007_3.png,37,17,0.882242,0.235517
dumps/fastmst-5-sobel/126007_OUT.png,dataset/BSDS500/ground_truth/126007_4.png,37,24,0.826821,0.300374
dumps/fastmst-5-sobel/126007_OUT.png,dataset/BSDS500/ground_truth/126007_5.png,37,7,0.894269,0.211462
dumps/fastmst-5-sobel/126007_OUT.png,dataset/BSDS500/ground_truth/126007_6.png,37,18,0.874787,0.237071
dumps/fastmst-5-sobel/147077_OUT.png,dataset/BSDS500/ground_truth/147077_0.png,32,25,0.868382,0.254921
dumps/fastmst-5-sobel/147077_OUT.png,dataset/BSDS500/ground_truth/147077_1.png,32,12,0.856134,0.285089
dumps/fastmst-5-sobel/147077_OUT.png,dataset/BSDS500/ground_truth/147077_2.png,32,21,0.815927,0.328521
dumps/fastmst-5-sobel/147077_OUT.png,dataset/BSDS500/ground_truth/147077_3.png,32,37,0.780312,0.393003
dumps/fastmst-5-sobel/147077_OUT.png,dataset/BSDS500/ground_truth/147077_4.png,32,15,0.849438,0.276488
dumps/fastmst-5-sobel/159091_OUT.png,dataset/BSDS500/ground_truth/159091_0.png,39,10,0.922144,0.148211
dumps/fastmst-5-sobel/159091_OUT.png,dataset/BSDS500/ground_truth/159091_1.png,39,15,0.783279,0.426992
dumps/fastmst-5-sobel/159091_OUT.png,dataset/BSDS500/ground_truth/159091_2.png,39,12,0.945648,0.10123
dumps/fastmst-5-sobel/159091_OUT.png,dataset/BSDS500/ground_truth/159091_3.png,39,11,0.947669,0.0983543
dumps/fastmst-5-sobel/159091_OUT.png,dataset/BSDS500/ground_truth/159091_4.png,39,6,0.949307,0.0942351
dumps/fastmst-5-sobel/159091_OUT.png,dataset/BSDS500/ground_truth/159091_5.png,39,9,0.908148,0.165932
dumps/fastmst-5-sobel/176035_OUT.png,dataset/BSDS500/ground_truth/176035_0.png,30,39,0.856614,0.286773
dumps/fastmst-5-sobel/176035_OUT.png,dataset/BSDS500/ground_truth/176035_1.png,30,10,0.942818,0.114365
dumps/fastmst-5-sobel/176035_OUT.png,dataset/BSDS500/ground_truth/176035_2.png,30,8,0.970233,0.0595333
dumps/fastmst-5-sobel/176035_OUT.png,dataset/BSDS500/ground_truth/176035_3.png,30,15,0.947313,0.105375
dumps/fastmst-5-sobel/176035_OUT.png,dataset/BSDS500/ground_truth/176035_4.png,30,26,0.884534,0.230776
dumps/fastmst-5-sobel/176035_OUT.png,dataset/BSDS500/ground_truth/176035_5.png,30,24,0.882281,0.235439
dumps/fastmst-5-sobel/181018_OUT.png,dataset/BSDS500/ground_truth/181018_0.png,30,10,0.836996,0.326008
dumps/fastmst-5-sobel/181018_OUT.png,dataset/BSDS500/ground_truth/181018_1.png,30,28,0.790345,0.419311
dumps/fastmst-5-sobel/181018_OUT.png,dataset/BSDS500/ground_truth/181018_2.png,30,31,0.79572,0.40856
dumps/fastmst-5-sobel/181018_OUT.png,dataset/BSDS500/ground_truth/181018_3.png,30,23,0.809127,0.381746
dumps/fastmst-5-sobel/181018_OUT.png,dataset/BSDS500/ground_truth/181018_4.png,30,25,0.822689,0.354622
dumps/fastmst-5-sobel/206097_OUT.png,dataset/BSDS500/ground_truth/206097_0.png,36,18,0.866633,0.265121
dumps/fastmst-5-sobel/206097_OUT.png,dataset/BSDS500/ground_truth/206097_1.png,36,4,0.87877,0.24246
dumps/fastmst-5-sobel/206097_OUT.png,dataset/BSDS500/ground_truth/206097_2.png,36,15,0.866957,0.266086
dumps/fastmst-5-sobel/206097_OUT.png,dataset/BSDS500/ground_truth/206097_3.png,36,36,0.831413,0.316934
dumps/fastmst-5-sobel/206097_OUT.png,dataset/BSDS500/ground_truth/206097_4.png,36,23,0.873615,0.25277
dumps/fastmst-5-sobel/206097_OUT.png,dataset/BSDS500/ground_truth/206097_5.png,36,21,0.889554,0.205484
dumps/fastmst-5-sobel/216081_OUT.png,dataset/BSDS500/ground_truth/216081_0.png,35,66,0.775416,0.396915
dumps/fastmst-5-sobel/216081_OUT.png,dataset/BSDS500/ground_truth/216081_1.png,35,57,0.795086,0.387737
dumps/fastmst-5-sobel/216081_OUT.png,dataset/BSDS500/ground_truth/216081_2.png,35,84,0.737573,0.456331
dumps/fastmst-5-sobel/216081_OUT.png,dataset/BSDS500/ground_truth/216081_3.png,35,60,0.790001,0.385062
dumps/fastmst-5-sobel/216081_OUT.png,dataset/BSDS500/ground_truth/216081_4.png,35,124,0.629309,0.545029
dumps/fastmst-5-sobel/232076_OUT.png,dataset/BSDS500/ground_truth/232076_0.png,30,6,0.921134,0.157732
dumps/fastmst-5-sobel/232076_OUT.png,dataset/BSDS500/ground_truth/232076_1.png,30,7,0.903284,0.193431
dumps/fastmst-5-sobel/232076_OUT.png,dataset/BSDS500/ground_truth/232076_2.png,30,6,0.918977,0.162046
dumps/fastmst-5-sobel/232076_OUT.png,dataset/BSDS500/ground_truth/232076_3.png,30,3,0.95559,0.0888207
dumps/fastmst-5-sobel/232076_OUT.png,dataset/BSDS500/ground_truth/232076_4.png,30,8,0.931037,0.137253
dumps/fastmst-5-sobel/24063_OUT.png,dataset/BSDS500/ground_truth/24063_0.png,52,16,0.970564,0.0588727
dumps/fastmst-5-sobel/24063_OUT.png,dataset/BSDS500/ground_truth/24063_1.png,52,6,0.98283,0.0343392
dumps/fastmst-5-sobel/24063_OUT.png,dataset/BSDS500/ground_truth/24063_2.png,52,40,0.886808,0.218464
dumps/fastmst-5-sobel/24063_OUT.png,dataset/BSDS500/ground_truth/24063_3.png,52,15,0.909683,0.176922
dumps/fastmst-5-sobel/24063_OUT.png,dataset/BSDS500/ground_truth/24063_4.png,52,51,0.884768,0.223237
dumps/fastmst-5-sobel/268048_OUT.png,dataset/BSDS500/ground_truth/268048_0.png,36,20,0.856368,0.262194
dumps/fastmst-5-sobel/268048_OUT.png,dataset/BSDS500/ground_truth/268048_1.png,36,7,0.918589,0.158328
dumps/fastmst-5-sobel/268048_OUT.png,dataset/BSDS500/ground_truth/268048_2.png,36,4,0.954793,0.0904139
dumps/fastmst-5-sobel/268048_OUT.png,dataset/BSDS500/ground_truth/268048_3.png,36,22,0.828181,0.32845
dumps/fastmst-5-sobel/268048_OUT.png,dataset/BSDS500/ground_truth/268048_4.png,36,21,0.856834,0.277809
dumps/fastmst-5-sobel/28075_OUT.png,dataset/BSDS500/ground_truth/28075_0.png,34,4,0.970007,0.0599867
dumps/fastmst-5-sobel/28075_OUT.png,dataset/BSDS500/ground_truth/28075_1.png,34,4,0.969566,0.0608675
dumps/fastmst-5-sobel/28075_OUT.png,dataset/BSDS500/ground_truth/28075_2.png,34,4,0.971399,0.0572017
dumps/fastmst-5-sobel/28075_OUT.png,dataset/BSDS500/ground_truth/28075_3.png,34,8,0.950849,0.0983025
dumps/fastmst-5-sobel/28075_OUT.png,dataset/BSDS500/ground_truth/28075_4.png,34,7,0.951043,0.0979139
dumps/fastmst-5-sobel/28075_OUT.png,dataset/BSDS500/ground_truth/28075_5.png,34,9,0.91048,0.177104
dumps/fastmst-5-sobel/295087_OUT.png,dataset/BSDS500/ground_truth/295087_0.png,44,7,0.913887,0.170485
dumps/fastmst-5-sobel/295087_OUT.png,dataset/BSDS500/ground_truth/295087_1.png,44,12,0.918634,0.162732
dumps/fastmst-5-sobel/295087_OUT.png,dataset/BSDS500/ground_truth/295087_2.png,44,9,0.879476,0.230465
dumps/fastmst-5-sobel/295087_OUT.png,dataset/BSDS500/ground_truth/295087_3.png,44,33,0.851173,0.28608
dumps/fastmst-5-sobel/295087_OUT.png,dataset/BSDS500/ground_truth/295087_4.png,44,10,0.913835,0.17233
dumps/fastmst-5-sobel/295087_OUT.png,dataset/BSDS500/ground_truth/295087_5.png,44,18,0.877572,0.243697
dumps/fastmst-5-sobel/295087_OUT.png,dataset/BSDS500/ground_truth/295087_6.png,44,15,0.892779,0.209591
dumps/fastmst-5-sobel/35010_OUT.png,dataset/BSDS500/ground_truth/35010_0.png,30,30,0.832093,0.334804
dumps/fastmst-5-sobel/35010_OUT.png,dataset/BSDS500/ground_truth/35010_1.png,30,26,0.832585,0.334661
dumps/fastmst-5-sobel/35010_OUT.png,dataset/BSDS500/ground_truth/35010_2.png,30,31,0.773907,0.425969
dumps/fastmst-5-sobel/35010_OUT.png,dataset/BSDS500/ground_truth/35010_3.png,30,33,0.748525,0.478481
dumps/fastmst-5-sobel/35010_OUT.png,dataset/BSDS500/ground_truth/35010_4.png,30,23,0.782339,0.422549
dumps/fastmst-5-sobel/388016_OUT.png,dataset/BSDS500/ground_truth/388016_0.png,43,61,0.781374,0.380697
dumps/fastmst-5-sobel/388016_OUT.png,dataset/BSDS500/ground_truth/388016_1.png,43,6,0.956309,0.0873764
dumps/fastmst-5-sobel/388016_OUT.png,dataset/BSDS500/ground_truth/388016_2.png,43,19,0.910201,0.179597
dumps/fastmst-5-sobel/388016_OUT.png,dataset/BSDS500/ground_truth/388016_3.png,43,35,0.858608,0.279823
dumps/fastmst-5-sobel/388016_OUT.png,dataset/BSDS500/ground_truth/388016_4.png,43,54,0.778829,0.387109
dumps/fastmst-5-sobel/388016_OUT.png,dataset/BSDS500/ground_truth/388016_5.png,43,110,0.580748,0.649452
dumps/fastmst-5-sobel/5096_OUT.png,dataset/BSDS500/ground_truth/5096_0.png,42,28,0.822877,0.342291
dumps/fastmst-5-sobel/5096_OUT.png,dataset/BSDS500/ground_truth/5096_1.png,42,19,0.78026,0.431305
dumps/fastmst-5-sobel/5096_OUT.png,dataset/BSDS500/ground_truth/5096_2.png,42,13,0.802573,0.382938
dumps/fastmst-5-sobel/5096_OUT.png,dataset/BSDS500/ground_truth/5096_3.png,42,45,0.796653,0.377996
dumps/fastmst-5-sobel/5096_OUT.png,dataset/BSDS500/ground_truth/5096_4.png,42,10,0.848835,0.295199
dumps/fastmst-5-sobel/65019_OUT.png,dataset/BSDS500/ground_truth/65019_0.png,29,48,0.75164,0.425878
dumps/fastmst-5-sobel/65019_OUT.png,dataset/BSDS500/ground_truth/65019_1.png,29,45,0.790273,0.377271
dumps/fastmst-5-sobel/65019_OUT.png,dataset/BSDS500/ground_truth/65019_2.png,29,34,0.778084,0.403689
dumps/fastmst-5-sobel/65019_OUT.png,dataset/BSDS500/ground_truth/65019_3.png,29,45,0.771064,0.403618
dumps/fastmst-5-sobel/65019_OUT.png,dataset/BSDS500/ground_truth/65019_4.png,29,77,0.737528,0.439699
